Date,AAPL,GOOG,META,MSFT,QQQ,TSLA
2015-01-02,24.531766891479492,26.16865348815918,78.44999694824219,40.620662689208984,96.2122573852539,14.620667457580566
2015-01-05,23.840665817260742,25.623151779174805,77.19000244140625,40.24713134765625,94.80094909667969,14.005999565124512
2015-01-06,23.84290885925293,25.029281616210938,76.1500015258789,39.65641403198242,93.52983093261719,14.085332870483398
2015-01-07,24.177236557006836,24.986400604248047,76.1500015258789,40.160255432128906,94.73550415039062,14.063332557678223
2015-01-08,25.106184005737305,25.065183639526367,78.18000030517578,41.34168243408203,96.54874420166016,14.041333198547363
2015-01-09,25.133115768432617,24.740575790405273,77.73999786376953,40.99420928955078,95.9131851196289,13.77733325958252
2015-01-12,24.513811111450195,24.560070037841797,76.72000122070312,40.48167037963867,94.91309356689453,13.480667114257812
2015-01-13,24.73146629333496,24.741073608398438,76.44999694824219,40.273189544677734,94.88507080078125,13.616666793823242
2015-01-14,24.637231826782227,24.974931716918945,76.27999877929688,39.92570114135742,94.36165618896484,12.845999717712402
2015-01-15,23.96856117248535,25.02080535888672,74.05000305175781,39.508724212646484,93.13729095458984,12.791333198547363
2015-01-16,23.78232765197754,25.334444046020508,75.18000030517578,40.168941497802734,94.2308120727539,12.871333122253418
2015-01-20,24.394887924194336,25.275606155395508,76.23999786376953,40.29924392700195,94.97852325439453,12.795332908630371
2015-01-21,24.58112907409668,25.83108139038086,76.73999786376953,39.890953063964844,95.46454620361328,13.104666709899902
2015-01-22,25.220619201660156,26.64634132385254,77.6500015258789,40.94208908081055,97.23101043701172,13.441332817077637
2015-01-23,25.35076332092285,26.923580169677734,77.83000183105469,40.98551940917969,97.44599151611328,13.419333457946777
2015-01-26,25.377685546875,26.68722915649414,77.5,40.83783721923828,97.33381652832031,13.770000457763672
2015-01-27,24.4891300201416,25.86050033569336,75.77999877929688,37.058982849121094,94.81031036376953,13.732000350952148
2015-01-28,25.873573303222656,25.4301815032959,76.23999786376953,35.7819709777832,94.32426452636719,13.291333198547363
2015-01-29,26.679113388061523,25.463090896606445,78.0,36.49431610107422,95.23086547851562,13.680000305175781
2015-01-30,26.28868293762207,26.65282440185547,75.91000366210938,35.095699310302734,94.49252319335938,13.573332786560059
2015-02-02,26.61852264404297,26.351652145385742,74.98999786376953,35.860164642333984,95.31501007080078,14.062666893005371
2015-02-03,26.62301254272461,26.38954734802246,75.4000015258789,36.13814163208008,96.23096466064453,14.557332992553711
2015-02-04,26.827198028564453,26.066434860229492,75.62999725341797,36.34662628173828,96.14684295654297,14.569999694824219
2015-02-05,27.01868438720703,26.306774139404297,75.61000061035156,36.87654113769531,96.97866821289062,14.732666969299316
2015-02-06,26.791156768798828,26.477306365966797,74.47000122070312,36.841793060302734,96.38982391357422,14.490667343139648
2015-02-09,26.969120025634766,26.31924057006836,74.44000244140625,36.79836654663086,96.08141326904297,14.498666763305664
2015-02-10,27.48723602294922,26.77349281311035,75.19000244140625,37.00685501098633,97.57684326171875,14.419333457946777
2015-02-11,28.131505966186523,26.725126266479492,76.51000213623047,36.81572723388672,97.93199157714844,14.186667442321777
2015-02-12,28.487430572509766,27.072172164916992,76.2300033569336,37.43251037597656,99.072265625,13.525333404541016
2015-02-13,28.62709617614746,27.375341415405273,75.73999786376953,38.110103607177734,99.92281341552734,13.584667205810547
2015-02-17,28.796045303344727,27.067686080932617,75.5999984741211,38.127593994140625,100.01627349853516,13.623332977294922
2015-02-18,28.996532440185547,26.911115646362305,76.70999908447266,38.0838623046875,100.15644836425781,13.630666732788086
2015-02-19,28.935710906982422,27.069181442260742,79.41999816894531,38.05760955810547,100.65182495117188,14.11400032043457
2015-02-20,29.172239303588867,26.87371826171875,79.9000015258789,38.372562408447266,101.32476043701172,14.473999977111816
2015-02-23,29.96068572998047,26.522682189941406,78.83999633789062,38.626285552978516,101.4275894165039,13.822667121887207
2015-02-24,29.77370262145996,26.731109619140625,78.44999694824219,38.57379913330078,101.50233459472656,13.607333183288574
2015-02-25,29.01230239868164,27.11904525756836,79.55999755859375,38.486305236816406,101.25000762939453,13.583999633789062
2015-02-26,29.37948989868164,27.697954177856445,80.41000366210938,38.54755401611328,101.7640609741211,13.812666893005371
2015-02-27,28.93796157836914,27.843555450439453,78.97000122070312,38.36381530761719,101.3154067993164,13.555999755859375
2015-03-02,29.079879760742188,28.488784790039062,79.75,38.39006423950195,102.23137664794922,13.155332565307617
2015-03-03,29.140705108642578,28.603469848632812,79.5999984741211,37.865142822265625,101.75469207763672,13.303999900817871
2015-03-04,28.955984115600586,28.59000587463379,80.9000015258789,37.67266845703125,101.36214447021484,13.496000289916992
2015-03-05,28.476165771484375,28.6877384185791,81.20999908447266,37.716400146484375,101.53971862792969,13.375332832336426
2015-03-06,28.518966674804688,28.306533813476562,80.01000213623047,37.06024169921875,100.39012908935547,12.925333023071289
2015-03-09,28.640605926513672,28.364625930786133,79.44000244140625,37.48893737792969,100.67984008789062,12.725333213806152
2015-03-10,28.048154830932617,27.67452049255371,77.55000305175781,36.77153015136719,98.8105697631836,12.687999725341797
2015-03-11,27.536800384521484,27.483543395996094,77.56999969482422,36.72777557373047,98.24041748046875,12.916000366210938
2015-03-12,28.034635543823242,27.699451446533203,78.93000030517578,35.88788986206055,98.8853530883789,12.73799991607666
2015-03-13,27.840904235839844,27.291072845458984,78.05000305175781,36.20286560058594,98.45539093017578,12.578666687011719
2015-03-16,28.147274017333984,27.649587631225586,78.06999969482422,36.36033630371094,99.72650909423828,13.046667098999023
